stage,ts,wait,active,delayed,prioritized,failed,drain_seconds
1vu,2026-09-22T18:55:10+02:00,0,0,8,0,0,1
2vu,2026-09-22T19:01:14+02:00,0,0,8,0,0,1
10vu,2026-09-22T19:07:40+02:00,0,0,8,0,0,1
50vu,2026-09-22T19:15:43+02:00,0,0,8,0,5,1
