stage,ts,wait,active,delayed,prioritized,failed,drain_seconds
1vu,2026-09-22T19:32:19+02:00,0,0,8,0,5,2
2vu,2026-09-22T19:38:23+02:00,0,0,8,0,5,1
10vu,2026-09-22T19:44:28+02:00,0,0,8,0,5,1
50vu,2026-09-22T19:50:42+02:00,0,0,8,0,5,2
