ts,stage,node,cpu_millicores,mem_mib
2026-09-22T20:23:01.983Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,263,4297
2026-09-22T20:23:18.165Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2722,4684
2026-09-22T20:23:34.197Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3949,4626
2026-09-22T20:23:50.048Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3739,4730
2026-09-22T20:24:05.817Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3905,4638
2026-09-22T20:24:21.990Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3161,4600
2026-09-22T20:24:38.061Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3935,4671
2026-09-22T20:24:53.628Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3903,4821
2026-09-22T20:25:09.194Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2996,4801
2026-09-22T20:25:24.686Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3068,5011
2026-09-22T20:25:40.300Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2925,4982
2026-09-22T20:25:55.903Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2930,4977
2026-09-22T20:26:11.390Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2935,4988
2026-09-22T20:26:27.123Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2902,4976
2026-09-22T20:26:42.607Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2982,4868
2026-09-22T20:26:58.186Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2890,4845
2026-09-22T20:27:13.793Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2934,4854
2026-09-22T20:27:29.300Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2957,4851
2026-09-22T20:27:44.839Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,3035,4816
2026-09-22T20:28:00.340Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2892,4800
2026-09-22T20:28:15.849Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2554,4987
2026-09-22T20:28:31.376Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2015,4827
2026-09-22T20:28:46.860Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,2027,4777
2026-09-22T20:29:02.446Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,1952,4966
2026-09-22T20:29:17.966Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,1957,4934
2026-09-22T20:29:33.413Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,1863,4841
2026-09-22T20:29:48.926Z,50vu,scw-lt-t1-load-f951d50e23334556a742b9099b7a2f4,1845,4807
