ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-api-65d76d54df-4994l,9,536
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,2,534
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,20,548
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,22,60
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,9,22
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,4,476
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,2,445
2026-09-22T20:23:01.983Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,2,465
2026-09-22T20:23:01.983Z,50vu,mailpit-dd68cc87d-tdtxh,0,13
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-api-65d76d54df-4994l,300,536
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,204,535
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,236,563
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,22,60
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,9,22
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,3,476
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,69,478
2026-09-22T20:23:18.165Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,2,465
2026-09-22T20:23:18.165Z,50vu,mailpit-dd68cc87d-tdtxh,0,13
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-api-65d76d54df-4994l,989,633
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,898,563
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,838,577
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,168,139
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,16,22
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,200,453
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,431,460
2026-09-22T20:23:34.197Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,326,525
2026-09-22T20:23:34.197Z,50vu,mailpit-dd68cc87d-tdtxh,8,45
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-api-65d76d54df-4994l,706,600
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,811,622
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,558,601
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,219,145
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,22,22
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,474,461
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,431,460
2026-09-22T20:23:50.048Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,461,509
2026-09-22T20:23:50.048Z,50vu,mailpit-dd68cc87d-tdtxh,16,53
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-api-65d76d54df-4994l,653,601
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,726,624
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,558,601
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,219,145
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,25,22
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,482,490
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,490,452
2026-09-22T20:24:05.817Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,461,509
2026-09-22T20:24:05.817Z,50vu,mailpit-dd68cc87d-tdtxh,14,65
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-api-65d76d54df-4994l,621,602
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,690,669
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,560,609
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,221,148
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,18,23
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,517,488
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,467,466
2026-09-22T20:24:21.990Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,455,515
2026-09-22T20:24:21.990Z,50vu,mailpit-dd68cc87d-tdtxh,14,66
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-api-65d76d54df-4994l,674,608
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,689,625
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,552,611
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1,14
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,227,147
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,25,23
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,378,493
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,414,461
2026-09-22T20:24:38.061Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,455,515
2026-09-22T20:24:38.061Z,50vu,mailpit-dd68cc87d-tdtxh,14,66
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-api-65d76d54df-4994l,616,598
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,911,623
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,388,612
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,53,180
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,212,155
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,21,23
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,612,472
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,523,476
2026-09-22T20:24:53.628Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,564,504
2026-09-22T20:24:53.628Z,50vu,mailpit-dd68cc87d-tdtxh,17,67
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-api-65d76d54df-4994l,186,599
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,219,630
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,435,616
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,862,367
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,157,103
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,31,23
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,612,472
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,499,475
2026-09-22T20:25:09.194Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,223,501
2026-09-22T20:25:09.194Z,50vu,mailpit-dd68cc87d-tdtxh,9,67
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-api-65d76d54df-4994l,434,602
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,166,630
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,623,617
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,969,190
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,151,119
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,35,23
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,167,469
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,91,475
2026-09-22T20:25:24.686Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,223,502
2026-09-22T20:25:24.686Z,50vu,mailpit-dd68cc87d-tdtxh,6,67
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-api-65d76d54df-4994l,409,603
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,217,630
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,368,616
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,997,221
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,153,111
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,34,23
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,167,469
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,243,499
2026-09-22T20:25:40.300Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,217,504
2026-09-22T20:25:40.300Z,50vu,mailpit-dd68cc87d-tdtxh,5,67
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-api-65d76d54df-4994l,409,603
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,151,628
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,575,618
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,997,221
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,153,111
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,34,23
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,87,469
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,259,480
2026-09-22T20:25:55.903Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,230,510
2026-09-22T20:25:55.903Z,50vu,mailpit-dd68cc87d-tdtxh,5,67
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-api-65d76d54df-4994l,434,603
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,151,628
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,362,613
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,985,162
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,149,120
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,33,23
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,38,469
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,250,480
2026-09-22T20:26:11.390Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,283,507
2026-09-22T20:26:11.390Z,50vu,mailpit-dd68cc87d-tdtxh,6,67
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-api-65d76d54df-4994l,229,603
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,421,631
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,406,614
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,985,162
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,152,117
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,33,23
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,37,469
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,120,494
2026-09-22T20:26:27.123Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,189,528
2026-09-22T20:26:27.123Z,50vu,mailpit-dd68cc87d-tdtxh,6,67
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-api-65d76d54df-4994l,237,603
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,632,632
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,285,617
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,959,257
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,157,113
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,35,23
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,148,470
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,228,495
2026-09-22T20:26:42.607Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,251,518
2026-09-22T20:26:42.607Z,50vu,mailpit-dd68cc87d-tdtxh,6,67
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-api-65d76d54df-4994l,549,605
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,326,632
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,274,613
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,1001,219
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,152,104
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,35,23
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,98,474
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,186,495
2026-09-22T20:26:58.186Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,240,534
2026-09-22T20:26:58.186Z,50vu,mailpit-dd68cc87d-tdtxh,5,67
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-api-65d76d54df-4994l,461,605
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-api-65d76d54df-h7k72,326,632
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-api-65d76d54df-n22nl,120,613
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-ocr-67dfc6f76c-4cwkw,985,363
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-postgres-6f67654f68-p2jjg,152,106
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-redis-64c5d7869-gsntt,34,23
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-worker-6d7f4b65-79x85,98,474
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-worker-6d7f4b65-qggj4,244,496
2026-09-22T20:27:13.793Z,50vu,lt-invoicerr-worker-6d7f4b65-xwfft,94,507
