ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T20:23:01.983Z,50vu,0,0,8,0,0,48
2026-09-22T20:23:18.165Z,50vu,39,3,8,0,0,41
2026-09-22T20:23:34.197Z,50vu,39,3,8,0,0,44
2026-09-22T20:23:50.048Z,50vu,38,3,8,0,0,47
2026-09-22T20:24:05.817Z,50vu,42,3,6,0,0,48
2026-09-22T20:24:21.990Z,50vu,41,3,8,0,0,46
2026-09-22T20:24:38.061Z,50vu,27,3,8,0,0,47
2026-09-22T20:24:53.628Z,50vu,0,0,8,0,0,23
2026-09-22T20:25:09.194Z,50vu,0,0,8,0,0,30
2026-09-22T20:25:24.686Z,50vu,0,0,8,0,0,32
2026-09-22T20:25:40.300Z,50vu,0,0,8,0,0,28
2026-09-22T20:25:55.903Z,50vu,0,1,8,0,0,32
2026-09-22T20:26:11.390Z,50vu,0,0,8,0,0,25
2026-09-22T20:26:27.123Z,50vu,0,0,8,0,0,27
2026-09-22T20:26:42.607Z,50vu,0,0,8,0,0,23
2026-09-22T20:26:58.186Z,50vu,0,1,8,0,0,23
2026-09-22T20:27:13.793Z,50vu,0,0,8,0,0,33
2026-09-22T20:27:29.300Z,50vu,0,0,8,0,0,27
2026-09-22T20:27:44.839Z,50vu,0,0,8,0,0,27
2026-09-22T20:28:00.340Z,50vu,0,1,8,0,0,27
2026-09-22T20:28:15.849Z,50vu,0,0,8,0,0,15
2026-09-22T20:28:31.376Z,50vu,0,0,8,0,0,17
2026-09-22T20:28:46.860Z,50vu,0,0,8,0,0,16
2026-09-22T20:29:02.446Z,50vu,0,0,8,0,0,15
2026-09-22T20:29:17.966Z,50vu,0,0,8,0,0,12
2026-09-22T20:29:33.413Z,50vu,0,0,8,0,0,10
2026-09-22T20:29:48.926Z,50vu,0,0,8,0,0,10
