ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T22:38:12.440Z,50vu,0,0,8,0,0,38
2026-09-22T22:38:28.095Z,50vu,42,3,8,0,0,41
2026-09-22T22:38:43.888Z,50vu,38,3,8,0,0,43
2026-09-22T22:39:05.811Z,50vu,41,3,6,0,0,49
2026-09-22T22:39:21.732Z,50vu,40,3,8,0,0,43
2026-09-22T22:39:37.415Z,50vu,33,3,8,0,0,34
2026-09-22T22:39:53.102Z,50vu,0,0,8,0,0,30
2026-09-22T22:40:08.743Z,50vu,0,1,8,0,0,26
2026-09-22T22:40:24.503Z,50vu,0,1,8,0,0,26
2026-09-22T22:40:39.999Z,50vu,0,0,8,0,0,28
2026-09-22T22:40:55.559Z,50vu,0,0,8,0,0,26
2026-09-22T22:41:11.082Z,50vu,0,1,8,0,0,26
2026-09-22T22:41:26.612Z,50vu,0,1,8,0,0,25
2026-09-22T22:41:42.332Z,50vu,0,1,8,0,0,28
2026-09-22T22:41:57.853Z,50vu,0,0,8,0,0,24
2026-09-22T22:42:13.322Z,50vu,0,0,8,0,0,26
2026-09-22T22:42:28.866Z,50vu,0,2,8,0,0,29
2026-09-22T22:42:45.012Z,50vu,0,0,8,0,0,24
2026-09-22T22:43:00.519Z,50vu,0,0,8,0,0,22
2026-09-22T22:43:16.033Z,50vu,0,0,8,0,0,27
2026-09-22T22:43:31.562Z,50vu,0,0,8,0,0,14
2026-09-22T22:43:46.998Z,50vu,0,0,8,0,0,14
2026-09-22T22:44:02.525Z,50vu,0,0,8,0,0,14
2026-09-22T22:44:17.984Z,50vu,0,0,8,0,0,11
2026-09-22T22:44:33.466Z,50vu,0,0,8,0,0,13
2026-09-22T22:44:48.942Z,50vu,0,0,8,0,0,11
2026-09-22T22:45:04.579Z,50vu,0,0,8,0,0,12
