ts,stage,node,cpu_millicores,mem_mib
2026-09-22T22:38:12.440Z,50vu,3-nodes,437,5662
2026-09-22T22:38:28.095Z,50vu,3-nodes,357,5658
2026-09-22T22:38:43.888Z,50vu,3-nodes,4517,6209
2026-09-22T22:39:05.811Z,50vu,3-nodes,4589,6181
2026-09-22T22:39:21.732Z,50vu,3-nodes,4594,6261
2026-09-22T22:39:37.415Z,50vu,3-nodes,4709,6233
2026-09-22T22:39:53.102Z,50vu,3-nodes,4830,6446
2026-09-22T22:40:08.743Z,50vu,3-nodes,4176,6428
2026-09-22T22:40:24.503Z,50vu,3-nodes,3508,6398
2026-09-22T22:40:39.999Z,50vu,3-nodes,3475,6285
2026-09-22T22:40:55.559Z,50vu,3-nodes,3546,6308
2026-09-22T22:41:11.082Z,50vu,3-nodes,3487,6426
2026-09-22T22:41:26.612Z,50vu,3-nodes,3442,6479
2026-09-22T22:41:42.332Z,50vu,3-nodes,3187,6325
2026-09-22T22:41:57.853Z,50vu,3-nodes,3038,6305
2026-09-22T22:42:13.322Z,50vu,3-nodes,3168,6292
2026-09-22T22:42:28.866Z,50vu,3-nodes,3299,6345
2026-09-22T22:42:45.012Z,50vu,3-nodes,2899,6260
2026-09-22T22:43:00.519Z,50vu,3-nodes,3146,6440
2026-09-22T22:43:16.033Z,50vu,3-nodes,3095,6295
2026-09-22T22:43:31.562Z,50vu,3-nodes,2546,6243
2026-09-22T22:43:46.998Z,50vu,3-nodes,2095,6268
2026-09-22T22:44:02.525Z,50vu,3-nodes,2006,6398
2026-09-22T22:44:17.984Z,50vu,3-nodes,1988,6212
2026-09-22T22:44:33.466Z,50vu,3-nodes,1889,6215
2026-09-22T22:44:48.942Z,50vu,3-nodes,1960,6259
2026-09-22T22:45:04.579Z,50vu,3-nodes,1797,6314
