stage,ts,wait,active,delayed,prioritized,failed,drain_seconds
1vu,2026-09-22T18:59:29.495Z,0,0,8,0,0,0
2vu,2026-09-22T19:04:37.039Z,0,0,8,0,0,0
10vu,2026-09-22T19:10:12.098Z,0,0,8,0,0,0
50vu,2026-09-22T19:17:22.357Z,0,0,8,0,0,0
