ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T18:55:58.158Z,1vu,mailpit-dd68cc87d-k4fq6,4,33
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,490,540
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,254,17
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,59,52
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,8,496
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,182,516
2026-09-22T18:56:13.562Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,169,450
2026-09-22T18:56:13.562Z,1vu,mailpit-dd68cc87d-k4fq6,7,39
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,412,574
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,430,177
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,52,53
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,14,10
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,128,498
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,81,516
2026-09-22T18:56:28.975Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,175,454
2026-09-22T18:56:28.975Z,1vu,mailpit-dd68cc87d-k4fq6,4,43
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,421,568
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,403,240
